"Cell" "GeneticAncestry"
"Cell01" "1" "1"
"Cell02" "1" "1"
"Cell03" "1" "1"
"Cell04" "1" "1"
"Cell05" "1" "1"
"Cell06" "2" "2"
"Cell07" "1" "1"
"Cell08" "1" "1"
"Cell09" "1" "1"
"Cell10" "1" "1"
"Cell11" "1" "1"
"Cell12" "1" "1"
"Cell13" "2" "2"
"Cell14" "1" "1"
"Cell15" "2" "2"
"Cell16" "1" "1"
"Cell17" "1" "1"
"Cell18" "1" "1"
"Cell19" "1" "1"
"Cell20" "2" "2"
"Cell21" "2" "2"
"Cell22" "2" "2"
"Cell23" "1" "1"
"Cell24" "1" "1"
"Cell25" "2" "2"
"Normal" "Normal" "Normal"
