"X1" "X2"
"Cell1294493" "Cell1294493" "2"
"Cell1294494" "Cell1294494" "3"
"Cell1294496" "Cell1294496" "2"
"Cell1294498" "Cell1294498" "2"
"Cell1294499" "Cell1294499" "2"
"Cell1294500" "Cell1294500" "3"
"Cell1294503" "Cell1294503" "2"
"Cell1294504" "Cell1294504" "1"
"Cell1294505" "Cell1294505" "2"
"Cell1294508" "Cell1294508" "1"
"Cell1294509" "Cell1294509" "1"
"Cell1294513" "Cell1294513" "1"
"Cell1294515" "Cell1294515" "3"
"Cell1294516" "Cell1294516" "1"
"Cell1294518" "Cell1294518" "Normal"
"Cell1294520" "Cell1294520" "1"
"Cell1294527" "Cell1294527" "2"
"Cell1294528" "Cell1294528" "1"
"Cell1294530" "Cell1294530" "1"
"Cell1294533" "Cell1294533" "1"
"Cell1294534" "Cell1294534" "1"
"Cell1294535" "Cell1294535" "1"
"Cell1294537" "Cell1294537" "1"
"Cell1294541" "Cell1294541" "2"
"Cell1294543" "Cell1294543" "1"
"Cell1294544" "Cell1294544" "2"
"Cell1294545" "Cell1294545" "1"
"Cell1294546" "Cell1294546" "1"
"Cell1294547" "Cell1294547" "2"
"Cell1294549" "Cell1294549" "2"
"Cell1294551" "Cell1294551" "1"
"Cell1294553" "Cell1294553" "1"
"Cell1294556" "Cell1294556" "1"
"Cell1294562" "Cell1294562" "1"
"Cell1294563" "Cell1294563" "1"
"Cell1294565" "Cell1294565" "2"
"Cell1294566" "Cell1294566" "1"
"Cell1294569" "Cell1294569" "3"
"Cell1294572" "Cell1294572" "1"
"Cell1294573" "Cell1294573" "2"
"Cell1294574" "Cell1294574" "1"
"Cell1294575" "Cell1294575" "1"
"Cell1294576" "Cell1294576" "1"
"Cell1294577" "Cell1294577" "1"
"Cell1294580" "Cell1294580" "1"
"Cell1294582" "Cell1294582" "2"
"Cell1294583" "Cell1294583" "2"
"Cell1294586" "Cell1294586" "2"
"Cell1294587" "Cell1294587" "3"
"Cell1294588" "Cell1294588" "3"
"Cell1294589" "Cell1294589" "3"
"Cell1294590" "Cell1294590" "3"
"Cell1294591" "Cell1294591" "3"
"Cell1294592" "Cell1294592" "1"
"Cell1294593" "Cell1294593" "3"
"Cell1294594" "Cell1294594" "3"
"Cell1294597" "Cell1294597" "3"
"Cell1294598" "Cell1294598" "2"
"Cell1294600" "Cell1294600" "3"
"Cell1294601" "Cell1294601" "2"
"Cell1294602" "Cell1294602" "2"
"Cell1294603" "Cell1294603" "3"
"Cell1294604" "Cell1294604" "3"
"Cell1294605" "Cell1294605" "3"
"Cell1294612" "Cell1294612" "1"
"Cell1294614" "Cell1294614" "3"
"Cell1294615" "Cell1294615" "2"
"Cell1294616" "Cell1294616" "2"
"Cell1294619" "Cell1294619" "3"
"Cell1294623" "Cell1294623" "3"
"Cell1294624" "Cell1294624" "3"
"Cell1294625" "Cell1294625" "1"
"Cell1294626" "Cell1294626" "2"
"Cell1294627" "Cell1294627" "2"
"Cell1294628" "Cell1294628" "2"
"Cell1294631" "Cell1294631" "1"
"Cell1294635" "Cell1294635" "3"
"Cell1294636" "Cell1294636" "2"
"Cell1294638" "Cell1294638" "2"
"Cell1294641" "Cell1294641" "2"
"Cell1294643" "Cell1294643" "3"
"Cell1294645" "Cell1294645" "2"
"Cell1294647" "Cell1294647" "3"
"Cell1294648" "Cell1294648" "3"
"Cell1294649" "Cell1294649" "2"
"Cell1294650" "Cell1294650" "3"
"Cell1294651" "Cell1294651" "3"
"Cell1294654" "Cell1294654" "2"
"Cell1294656" "Cell1294656" "2"
"Cell1294657" "Cell1294657" "1"
"Cell1294659" "Cell1294659" "1"
"Cell1294661" "Cell1294661" "3"
"Cell1294662" "Cell1294662" "2"
"Cell1294663" "Cell1294663" "3"
"Cell1294665" "Cell1294665" "2"
"Cell1294667" "Cell1294667" "2"
"Cell1294669" "Cell1294669" "2"
"Cell1294670" "Cell1294670" "3"
"Cell1294671" "Cell1294671" "3"
"Cell1294672" "Cell1294672" "3"
"Cell1294674" "Cell1294674" "1"
"Cell1294675" "Cell1294675" "3"
"Cell1294681" "Cell1294681" "3"
"Cell1294683" "Cell1294683" "3"
